Section,d (in.),bf (in.),tf (in.),tw (in.),k (in.),Area (in.^2),Ix (in.^4),Iy (in.^4),Sx (in.^3),Sy (in.^3),Zx (in.^3),Zy (in.^3),Rx (in.),Ry (in.),J (in.^4)
W44X335,44,15.9,1.77,1.03,2.56,98.5,31100,1200,1410,150,1620,236,17.8,3.49,74.7
W44X290,43.6,15.8,1.58,0.865,2.36,85.4,27000,1040,1240,132,1410,205,17.8,3.49,50.9
W44X262,43.3,15.8,1.42,0.785,2.2,77.2,24100,923,1110,117,1270,182,17.7,3.47,37.3
W44X230,42.9,15.8,1.22,0.71,2.01,67.8,20800,796,971,101,1100,157,17.5,3.43,24.9
W40X655,43.6,16.9,3.54,1.97,4.72,193,56500,2870,2590,340,3080,542,17.1,3.86,589
W40X593,43,16.7,3.23,1.79,4.41,174,50400,2520,2340,302,2760,481,17,3.8,445
W40X503,42.1,16.4,2.76,1.54,3.94,148,41600,2040,1980,249,2320,394,16.8,3.72,277
W40X431,41.3,16.2,2.36,1.34,3.54,127,34800,1690,1690,208,1960,328,16.6,3.65,177
W40X397,41,16.1,2.2,1.22,3.38,117,32000,1540,1560,191,1800,300,16.6,3.64,142
W40X372,40.6,16.1,2.05,1.16,3.23,110,29600,1420,1460,177,1680,277,16.5,3.6,116
W40X362,40.6,16,2.01,1.12,3.19,106,28900,1380,1420,173,1640,270,16.5,3.6,109
W40X324,40.2,15.9,1.81,1,2.99,95.3,25600,1220,1280,153,1460,239,16.4,3.58,79.4
W40X297,39.8,15.8,1.65,0.93,2.83,87.3,23200,1090,1170,138,1330,215,16.3,3.54,61.2
W40X277,39.7,15.8,1.58,0.83,2.76,81.5,21900,1040,1100,132,1250,204,16.4,3.58,51.5
W40X249,39.4,15.8,1.42,0.75,2.6,73.5,19600,926,993,118,1120,182,16.3,3.55,38.1
W40X215,39,15.8,1.22,0.65,2.4,63.5,16700,803,859,101,964,156,16.2,3.54,24.8
W40X199,38.7,15.8,1.07,0.65,2.25,58.8,14900,695,770,88.2,869,137,16,3.45,18.3
W40X392,41.6,12.4,2.52,1.42,3.7,116,29900,803,1440,130,1710,212,16.1,2.64,172
W40X331,40.8,12.2,2.13,1.22,3.31,97.7,24700,644,1210,106,1430,172,15.9,2.57,105
W40X327,40.8,12.1,2.13,1.18,3.31,95.9,24500,640,1200,105,1410,170,16,2.58,103
W40X294,40.4,12,1.93,1.06,3.11,86.2,21900,562,1080,93.5,1270,150,15.9,2.55,76.6
W40X278,40.2,12,1.81,1.03,2.99,82.3,20500,521,1020,87.1,1190,140,15.8,2.52,65
W40X264,40,11.9,1.73,0.96,2.91,77.4,19400,493,971,82.6,1130,132,15.8,2.52,56.1
W40X235,39.7,11.9,1.58,0.83,2.76,69.1,17400,444,875,74.6,1010,118,15.9,2.54,41.3
W40X211,39.4,11.8,1.42,0.75,2.6,62.1,15500,390,786,66.1,906,105,15.8,2.51,30.4
W40X183,39,11.8,1.2,0.65,2.38,53.3,13200,331,675,56,774,88.3,15.7,2.49,19.3
W40X167,38.6,11.8,1.03,0.65,2.21,49.3,11600,283,600,47.9,693,76,15.3,2.4,14
